UFRUBLU2L2DR2U'F'R2D2FURD'F2U',//3j,T_h - 24
F'D'BDL2R'B2L'D'L2BLF'U'BU2BFR'U',kociemba 02-2006,S_6 A 6
R2F2L'B2F2L2F2U'L'FD'L'F2U2RBULR'U',kociemba 02-2006,S_6 A 6
B'RBLBL'DBU'F'DBU2R'DRF2L'R'U',kociemba 02-2006,S_6 A 6
DR2D2B'FLD'BL2B2UR2DL2B2D2B'U2R2U',kociemba 02-2006,S_6 A 6
U'R'U'LRUR'U2L'R'D'UL'DF'U'F2U'R2U',kociemba 02-2006,S_6 A 6
R2DF'R2F2R'D2BRU2F'D'R'U'F'L'R2D'R2U',kociemba 02-2006,S_6 A 6
D'RDBL2D'F'L2D2LUFR2F2D2B2R'F'R'U',kociemba 02-2006,S_6 A 6
D'L2DB'F'RD2B'LBUBD2B2FL'DFR2U',kociemba 02-2006,S_6 A 6
L2FL'DR'D'F'U2F2L2FL'U2LD'R'B2UR2U',kociemba 02-2006,S_6 A 6
U'R'UB'LB'D2ULU'R'D'LDR'B'D'UR'U',kociemba 02-2006,S_6 A 6
R'D2RD'LB'U'B'D'BR2B2R'U2B'F2L'U2R2U',kociemba 02-2006,S_6 - 6
DU2L2D'LDB'LB2F'U'LF'U2FDBU2R'U',kociemba 02-2006,S_6 A 6
DF'R'BRB'URDUF2L'D'U'RB'F2U2R'U',kociemba 02-2006,S_6 A 6
U2B'L2F'DF2U'BR'DL'F'L'UB2U'R2UR'U',kociemba 02-2006,S_6 A 6
LF2L'BU'B'D'R'D'U2B'F2U'R'BL2B2UR'U',kociemba 02-2006,S_6 A 6
UF'U'L2B'L'B'R'F2U2FD'FU'B'RD2UR2U',kociemba 02-2006,S_6 A 6
RD2L2URD2R2F2U'FL2F2D2L'UBF2U'R'U',kociemba 02-2006,S_6 A 6
L'UL'DU2R2F2U'LD2L2F2R'F2UBF'LRU',kociemba 02-2006,S_6 A 6
UFR'D'B2U'B'RB2F2R'F'L'U'F'L2F'L'UL2,neighbors,C_4 A 4
UFR'B2F'L2F'LBURF2L2B2U2B2U2LFR2,neighbors,C_4 A 4
UFU2RD'B2LBF'D2LD2L2R'URU2F2R2B',,C_4 - 4
UFU2F'U'BF2U2R2U2R'U'F'D'L'BRB'L2U',,C_4 I 4
UFU2B2L2BLD'F'RF'LUB'DF2L2R'BU2,,C_4 A 4
UFU2B2F2LR2B2UB2F'R'BD2F2LU2F2UL',,C_2v_(a2) - 4
UF2U2BR2U2B2R'D2U2F2D2L2BU2F2D'L2R2U',neighbors,C_2v_(a2) - 4
UFLU'R'F'RUR'U2R'FU2R'U2B2RB'RF,neighbors,C_2_(a) I 2
UFUFUR'DB2R'DR2FB'L'U'DF2BU2L,coset,C_1 A 1
UFUFB'D2L2U2R2B2R'U'BD2LF'RDLU,coset,C_s_(a) A 2
UFUR2D'FU2B'L2UR'ULB'R2F2L'UD2L',coset,C_3 - 3
UFU2F'B'D2RD'LFUBR'U2B'DR2U2D'F2,coset,C_s_(a) A 2
UFU'FR2D2F'BL'DRB'LB2DLUD'L'F2,coset,C_2v_(a2) A 4
UFRDRF2R'FU2B'LF2DR2L2URF'U2L,coset,C_2h_(a) A 4
UFUR'F2B'R2U'R2FL'UF'U'RUD'R2F2L2,coset,C_2_(a) A 2
UFUR'L'B'L2U'R'F'B2U2B2R'B'R'DR'U'B',coset,C_1 A 1
UFUD'FLD2L'B'U'RD2L2BU2F2U'R'L'U2,coset,C_2h_(a) - 4
UFUD'R'FB2RDF'BL'F'U'D2RLD2F2L',coset,S_4 A 4
UFUBU2FU'L2BURLF'L2D'B'UR'FU2,coset,S_4 A 4
UFUBU2D'LUD2R2FLU2R'L2B2DR'B'R',coset,C_i A 2
