UFRUBLU2L2DR2U'F'R2D2FURD'F2U',//3j,T_h - 24
F2U2L2R'B2L'RFULBD'LF'D'B2DLF2U,coset 4-2006,C_s_(a) - 2
L2F'U2FU2F2R2F'D2L'F2DBUFR'F2L'D'L,coset 4-2006,C_s_(a) - 2
U2LF2R'U2LD2L2ULF'R'D'BD'UF'U2L'F',coset 4-2006,C_s_(a) A 2
F2R2DUL2R2B'RDUL'B'R2F'RU'F2L2R2F',coset 4-2006,C_s_(a) - 2
L2U'L2B2U2RU2L2FD'BU'B2RFRURF2U,coset 4-2006,C_s_(a) A 2
LD2U2L'D2R2F2RURUBLB2R'D'F'U'B'U',coset 4-2006,C_s_(a) A 2
B2R'B2RB2LU2L2B2D'U2BL'U2B'UBFDR',coset 4-2006,C_s_(a) - 2
R2U2FR2U2F'UR2FU'LUF2R'B'D2L2ULF,coset 4-2006,C_1 - 1
R2D2R2F2U'L2F'LD'URFLB2DR2B2D'BU,coset 4-2006,C_s_(a) - 2
F2D2L2F2U2BU2R'B'LR2BU'FD'B'R'F2R'U',coset 4-2006,C_s_(a) - 2
R'U2RB2RD2RD'B'D'R'D'FL2D2UFD'L'F',coset 4-2006,C_s_(a) - 2
D2U2FU2R2F'R2DLUBFL2D'U2F2RDL'R',coset 4-2006,C_s_(a) A 2
L2F2D2U2RU2B'L'B2FD'RDBUBD'R2U2F',coset 4-2006,C_2v_(a2) A 4
D2R2U2FU2B'L2D'F'U2B2RUB'L'DUFRF,kociemba 5-2006,C_1 - 1
DL2B2DR2D2L2BD'L2B'F2D'L'U'B'D'R'FL',kociemba 5-2006,C_1 A 1
U2R2U'L2DF2RF'D'BLRF2RD'R'BD2B'F,kociemba 5-2006,C_1 A 1
R2B'F'L2BF'R'U'B'U'LDF2R'B'F'RF2D2U',kociemba 5-2006,C_1 A 1
U2RD2F2L'F2RD'F2LDL2BF'U'B2U2LR'B,kociemba 5-2006,C_1 - 1
F2U2F2D2UF2L2U'B2LB'D'FL2D2F2LD'R'F,kociemba 5-2006,C_1 - 1
U2L'B2L'D2L2UR'B2F'D2L2F'RDF'L'B'UR',kociemba 5-2006,C_1 A 1
LB2RF2D2UL'BD2F2RF'DL'B'U'FD2B'R',kociemba 5-2006,C_1 - 1
D2F2L2F2R2F2U2F'R'U'LR2BF2U'F'RD2F2D,kociemba 5-2006,C_1 - 1
L2BF2R2BD2B2D'FL2F'RF'DL'B'F'U'R'D2,kociemba 5-2006,C_1 - 1
F2LB2F2RU2R'FU'R2B2LR2D2FD'B'R'U'L,kociemba 5-2006,C_1 - 1
FL2F'D2B2D2FUFD'U'LRBU'BF'D'B'R',kociemba 5-2006,C_1 A 1
D2LD2RU2RD2UL'DBL2D2RU'B'F'L'UF,kociemba 5-2006,C_1 A 1
F2RD2F2D2RU2R'D2L'B'D2B2LB2DF'U'LB,kociemba 5-2006,C_1 - 1
U'F2DU2B2RURF'LRD2LF2L'URF2LR,silviu 5-2006,C_3 A 3
B2R'D2R2F2LB2F'DU'L'U2BR2F'D2LUR2B',silviu 5-2006,C_3 A 3
DB2F2U'R2DU'R'D'L'B2DR2U'B'R2DF'UR',silviu 5-2006,C_3 - 3
BF2L2F'U2B'DUR2F'UR'BLDU2L2RDF',silviu 5-2006,C_3 A 3
F'U2R2F2L2B'DL2RUB2DBL'R'F'R2U'RF2,silviu 5-2006,C_3 A 3
DF2R2B2F2D2L2RF2UB'R2F'R'D'F'L2B'L2U,silviu 5-2006,C_3 A 3
D'B2D'F2D'R2UR'U'B'F2D'U2FL'D'F'R'FR2,silviu 5-2006,C_3 A 3
F2R2B2UL2UR2D'L2B'UF'LR'B'D'BUR'B,silviu 5-2006,C_3 A 3
DR2D'L2D'L2RD'L'BULB2U'FLBRFU',silviu 5-2006,C_3 A 3
L2RB2R'B2U2R'FDR2F'D2R2FRB2L2F2U2F',silviu 5-2006,C_3 A 3
R2U2BL2F2R'UF'U2F2LRU2FLR2DB'DF',silviu 5-2006,C_3 A 3
FL2F'U2FR2F'L'RFUR2DU2F2LFU2L2F',silviu 5-2006,C_3 A 3
U2L2F2D2B2U'L2U'FLFR2B'UR2U2R'F2UB,silviu 5-2006,C_3 A 3
R2B2R2B'U2B'D2UF'R2D2R'D'UB2LF'R'DR,silviu 5-2006,C_3 A 3
R2D2F2U2BF'U2R'B2U'RFL2B2D'U2F2LD'F,silviu 5-2006,C_3 A 3
R2D2L'D2LF2RB'L2D'U2B'LD2FL2B'L2DF2,silviu 5-2006,C_3 - 3
D'F2U2B2DL2D'R'DF'LB2D2L'R'BFLD'F',silviu 5-2006,C_3 A 3
U2F2R2U2R2D2U'LRUF'R'D'L'R2BD2L'U'R2,silviu 5-2006,C_3 - 3
U2R2U2LR2D2UB'FU'FD'UF2L'D'F'U'R2F2,silviu 5-2006,C_3 A 3
B2L2R2DF2D2B2DFD2RBLU'F'D'F'LU2L,silviu 5-2006,C_3 A 3
L2D2B2U'R2B2RU2LB2RB2D'BR'U'FU'LR',silviu 5-2006,C_3 A 3
D2B2L2BFR2DLR2DBFD2L'R2DF2L'D'F',silviu 5-2006,C_3 A 3
F'D2B2L2F'L2DFU2BD'LD2U'RB'F2LU2R,silviu 5-2006,C_3 - 3
DF2U'B2DL2F2U'RUB'D2L2R2UL2BD2R'U2,silviu 5-2006,C_3 A 3
D2F2U2R2U2R2F'UFLU'BRDLB2U2RBF',silviu 5-2006,C_3 A 3
F2D2B2LD2R2BU'L2R'D2B2L2ULBF2D2U'R2,silviu 5-2006,C_3 A 3
L'FU'L2F'D'FB2RU'R2F2UF2U'F2B2UDF2,silviu 5-2006,C_3 A 3
R'F2U2F2RD2F2R2BR'UF'D2U'LU'FL2U2F2,silviu 5-2006,C_3 - 3
U2R'D2B2D2L2F'D'U2L'FRUR2D'B'R'D2L'F',silviu 5-2006,C_3 - 3
R2F2U2L'F2D2U2FDL2DRB2F'D2RU2B'DF',silviu 5-2006,C_3 - 3
F2U'F2L2F2U'B2D2FL'D2RD2U2F2R2D'B'L2B',silviu 5-2006,C_3 A 3
F2R2D2LF2U2B2FLDRBR'U2L2D'UF'DU',silviu 5-2006,C_3 A 3
L2U2RD2B2RF'L'DRF'U'F2LB'R'B'U2F'R,silviu 5-2006,C_3 A 3
U'B2DL2UB2U'F'U'L'RD'L2B2UL'F2R'D'F',silviu 5-2006,C_3 A 3
U'L2F2R2D2U'L'BD'U'B'UB'L'DU2R2BL'F',silviu 5-2006,C_3 A 3
U2L2U2R'D2F2R'DU'F'U2L'F2D'L2D2L'F2D'F',silviu 5-2006,C_3 A 3
U2R2F2L2DB2D2R2D2F'D2RB2DL'U'B'F2U'L2,silviu 5-2006,C_3 A 3
D2F2L2D'F2L2U2L2R'BL'RU'B2L2D'B'L2B'F',silviu 5-2006,C_3 A 3
L'D2L2U2R2BL'FRDR2B2FRU2F2R'FU'F',silviu 5-2006,C_3 A 3
B2F2U2R'F2L2UR2UFRUR'D2B'R'FU2FU',silviu 5-2006,C_3 A 3
R'D2F2RF2LD2U'LB2UB'D2F2L'B'U2BRD,silviu 5-2006,C_3 A 3
B'D2B'L2U2F2L'D'F'L2DF2U2BL'D'U'R2F'U',silviu 5-2006,C_3 A 3
BL2FR2U2R2UB2L2BU'FRDU'F2R2B'R2U2,silviu 5-2006,C_3 A 3
F2L2R2D2R2U'B2R'DL'DF'U2BL'BRU'R2F',silviu 5-2006,C_3 A 3
U2BU2L2D2R2BL'UBF2D2U'F2D'B2L2F'UR,silviu 5-2006,C_3 A 3
BRUFRL2FURUB2L2F2DL2U2B2DL2D,silviu 5-2006,C_3 A 3
U2RU2B2F2L'U2F'U2LR'D'L'BR'F'R'F2L'F2,silviu 5-2006,C_3 A 3
U2B2F2L2R'B2F2DB'R2D'B2UL'FLU2B'DF2,silviu 5-2006,C_3 A 3
R2UB2L2UB2L2B'RD2L2F'R'F'D'L2D'B2U2F,silviu 5-2006,C_3 A 3
R2F'L2D2R2F2R2F2URD2ULFR'DF'LD'F2,silviu 5-2006,C_3 A 3
U2B2DU2R2B2U'FR'B'FL2R2D2F'ULB'DR2,silviu 5-2006,C_3 A 3
B2U'L2U'L2R2D'U2BL'R2BL'BFRDLFR',silviu 5-2006,C_3 A 3
B2U2LR2F2R'BDBD2U2B2D'RDB'U'L'B2F',silviu 5-2006,C_3 A 3
B2U'B2R2F2L'FDBD2U'RFRB2R2F'LR2U',silviu 5-2006,C_3 A 3
L2DR2F2L2U2F2D'R2B'U2L'DL'R'D2U2FDL,silviu 5-2006,C_3 A 3
L2DL2DU2B2R2UBD2RB'F'L'F'LURD'U,silviu 5-2006,C_3 A 3
D2L2B2LR'B2L'D2FUB'LF'L'DL'U2B'R2U2,silviu 5-2006,C_3 A 3
D2LRD2F2D2L'FR2D2UF2DL'U2RF'U2L2F,silviu 5-2006,C_3 A 3
L2BL2D2R2BL'ULB'R'DLR'DF2DF2RF',silviu 5-2006,C_3 A 3
F2D'F2U'F2U'B2U2L2URFLR2U2RB'FDB,silviu 5-2006,C_3 A 3
R2DB2L2B2L2DL'B2D'R2DBD'FU2B'U'L'U',silviu 5-2006,C_3 A 3
LD2B2U2L2U'L2FL'DFU2L'D2UR2F2R2FR',silviu 5-2006,C_3 A 3
D2U2R2B2D2U2RF'L'DB'UF2L2F'L2F2L'BU,silviu 5-2006,C_3 A 3
B2L2RB2D2RB'L2U'LB2D2B'L'DUB'F'DF2,silviu 5-2006,C_3 A 3
B2L'U2F2L'R'U2R2DL2B'R'FU2F'L2D2B'D'F,silviu 5-2006,C_3 A 3
DR2F2L2D2F2L'BL2U'B2R2BDRFD'B2RU',silviu 5-2006,C_3 A 3
D'B2F2D'R2F2U'LD'FL'UB'U'B2RB2DF2U,silviu 5-2006,C_3 A 3
U2F2R2B2F'UFL'B2R'F2D'U'FU2B'L'B2U2R',silviu 5-2006,C_3 A 3
F2L2B2UL2R2F2UB'D2RB2U'R2UF2UFRU',silviu 5-2006,C_3 A 3
L'F2U2LR2F2R2B'D2U'BR2UF'L'DB2R2U'F2,silviu 5-2006,C_3 A 3
D'U2L2F2U'L2F2RD'FL2D2F2L2B'R'D2L'UF',silviu 5-2006,C_3 A 3
U'F2D2L2R2B2U'B'D2R'U2RUL2R'F2R'DBF2,silviu 5-2006,C_3 A 3
F2U2L2U'L2B2LUL2R2FR'BFL2R'BL'UF',silviu 5-2006,C_3 A 3
FD2F'U2F'L2RFD2FLF2U'R2B'F'D2F2RF,silviu 5-2006,C_3 A 3
U2F2L'F2D2LDB'DL'DU'L'B'RD2F2UFR',silviu 5-2006,C_3 A 3
RF2D2F2LR'B2F'L'D'R2F2DRD'U'F2R2BR,silviu 5-2006,C_3 A 3
L2R2D2F2UL2DR2B'LDR'F2D'R2F'L'FL'F,silviu 5-2006,C_3 A 3
F2L2F'U2F'D2U'B'U'FD2LR'UBDB'U'R2U',silviu 5-2006,C_3 A 3
UB2F2DR2B2U2L2R2B'U'FD'L'D'L'R'UL'D2,silviu 5-2006,C_3 A 3
D2R'B2U2RU2LR2B'R'FDB'LFDL2U'R2U2,silviu 5-2006,C_3 A 3
RU2RU2L2U2R'U'F2LUR'BL'RFD2UF'U',silviu 5-2006,C_3 - 3
L'B2D2B2D2L2F'L'R2D'U'LB2R'F'R'DL'BF2,silviu 5-2006,C_3 A 3
UL2B2DF2L2D2R'FD'R'U'F2L'FR'BDRU',silviu 5-2006,C_3 A 3
DB2D'R2F2D2R2F'ULR'UBUBD2R'F'RU',silviu 5-2006,C_3 A 3
F2U2B2UL2UL'BLF2L2F'RU'BL2DB'D2U',silviu 5-2006,C_3 A 3
B2D2LF2D2UBD2BF'D'LFL'F'R'F2U'BR,silviu 5-2006,C_3 A 3
R2D2RB2F2D2LD'FRD2LD'F2U'BL2F'LF,silviu 5-2006,C_3 A 3
L2B'F2D2B2L2U'FLB2UB'ULRUB'L2D2F,silviu 5-2006,C_3 A 3
D2B2F2U2LD2UB2DU2BLD2R2BR'UB2D2R2,silviu 5-2006,C_3 A 3
F2L2D'L2D'L2B2D'R2B'L'U'L'F'L'R'F2L2D'U,silviu 5-2006,C_3 A 3
B'D2L2FR2D2F'L'R'FD'U'FU'L'B'L'F2D2U',silviu 5-2006,C_3 A 3
U2R'F2D2U2L'B2LF'R'U'F'U'B2D'L'U'B'L'F,silviu 5-2006,C_3 A 3
U2R2U'L2U2L'F2UB'RFL'U'F'DLF'L'F2U',silviu 5-2006,C_3 A 3
F2L2F2U2FL2RUBULD'B'L2D2B'L2D'L'U,silviu 5-2006,C_3 A 3
F'R2B'U2B2L2D'L'B2DB'U'R2B'L2B2FL'DR,silviu 5-2006,C_3 A 3
U2B'D2B2F2L2RF2D2F'LURB'DRB'F'RF',silviu 5-2006,C_3 A 3
RD2F2R'B2L'R'UL'U2FL'B'L2R'F'DU2R2F',silviu 5-2006,C_3 A 3
B2L2U2R2FR2DBD'L'RU2B2LF2L'DL2UF',silviu 5-2006,C_3 A 3
B2L2F2D2L2DR2U'BU'BD2LB'F2RDL2B'U',silviu 5-2006,C_3 A 3
R2B'F2L2R2DR2B'UL'D2LF2L2BL'DU2RU,silviu 5-2006,C_3 A 3
F'L2F2L2BLD2FD'BRDBL'F2DB'L2UF2,silviu 5-2006,C_3 - 3
B2F2DR2D'BU'L2DR'B'RUL'U2BD'L'F'U,silviu 5-2006,C_3 A 3
D2L2D'U2B2L2U'LD'F'L'U'LU2R2BL2R'BU',silviu 5-2006,C_3 - 3
RB2R'F2U2B2U2BU'L2BFLR'B2RFDBF',silviu 5-2006,C_3 A 3
U'B2U2R2DF2R2DB'UL'DUBRD2L'R2U2L2,silviu 5-2006,C_3 A 3
R2F2L2D2U2B2D2BD'RU'RBU2F2L'U'F'RF,silviu 5-2006,C_3 A 3
UF2UB2U'B2U2L2B2L'DU2B2F'LRU'RF'R,silviu 5-2006,C_3 - 3
D'L2B2DL2DL2D2R'F'D2UF'UR'D'B'F'LF,silviu 5-2006,C_3 A 3
L2R2B2R2U2R2D2UL2FR'DL'UBDR2B2F'R',silviu 5-2006,C_3 A 3
DL2R2D2R2D'B2F'U2R'B2L2F'LD2F2UF'DB,silviu 5-2006,C_3 A 3
DF2R2U2B2U'F2U2B'D2U'RBLB2U'BLDB',silviu 5-2006,C_3 A 3
L2R2D'R2B2D'LF2D'UF'R2B2R'B'F2LRUF,silviu 5-2006,C_3 A 3
R'U2RF2L2D2UB'FRUF'L'B2D'U2F2D2F'R,silviu 5-2006,C_3 A 3
R2B2D2UB2L2D'U2L2U2B'R'U2BLBR'U'BR2,silviu 5-2006,C_3 A 3
DB2DB2U'B2FUBD2UF'RDUL'U'RBL',silviu 5-2006,C_3 A 3
U2B2L2B'FR2D2UBR2D2RDUFD2L2F2L'F,silviu 5-2006,C_3 A 3
DR2B2UF2R2U'RFD'U2RDF2UF2D2B'U'R,silviu 5-2006,C_3 A 3
U2B2DR2DLD'BFDF2U'BFL2D'RB2DU',silviu 5-2006,C_3 A 3
DL2U2L2F2DF2U'BDL2F'LB2DLRD2LU,silviu 5-2006,C_3 A 3
D2U2B2R2BL2F2D'R2U'F'R2URD'R'D2L'F2U',silviu 5-2006,C_3 A 3
L2D'L2R2D'F2R'D'U'FR'D2B2RDBRU2L'F',silviu 5-2006,C_3 - 3
U'B2DU'F2D2RF'R'BR2FUB2UBU'L'DR2,silviu 5-2006,C_3 - 3
R2D2F2D2L'F2R'U'B2DFU'B'LBRUR'B2U2,silviu 5-2006,C_3 A 3
L2D2L2F2U2B2DF2U2RD'BU2FLR'UB2FR',silviu 5-2006,C_3 A 3
R'B2L2B2F2L'F'LFU2L'F'RD'B'UFU'L'F2,silviu 5-2006,C_3 A 3
U'B2DF2R2UR2U'F2RU'BRU2FU2LU'B2D',silviu 5-2006,C_3 A 3
L2D'R2U'B2L2U2L2U'R'UF'R'B'U'BU'L'D'B,silviu 5-2006,C_3 A 3
B2DF2D'L2D2B2DR'FD2B2D'LB'DRBR'U2,silviu 5-2006,C_3 - 3
UL2F2DL2D2B2FU2B'R2D2R2ULDUR'U2R,silviu 5-2006,C_3 - 3
F2D2R2F2D2B'DB2RDFD'R2DUR2B'RFU,silviu 5-2006,C_3 A 3
DF2R2D2F2D'R2F2LU'R'FU'F2R'D'B'LB2R',silviu 5-2006,C_3 A 3
F'R2BFU2FD2LRB'R2F2L'F2D'U'F'UB'U,silviu 5-2006,C_3 A 3
R2F2U2F2DF2L2F'RD2L2D2B'U'L'U2RD'BF',silviu 5-2006,C_3 A 3
UL2B2D'R2UL'DU'R'FR2B2FU2L'RB'R'U',silviu 5-2006,C_3 A 3
R2D2R'U2B2R'F2L'U'L'D2L'BFL'F'U'BF'U,silviu 5-2006,C_3 A 3
L2B2R2BF2U2FL2U'B2R'BD2U2L2RDFU2R2,silviu 5-2006,C_3 A 3
DL2R2D2L2D'L2B2F'DRDL'BR'U'F2U'FD2,silviu 5-2006,C_3 A 3
F'D2BD2R2D2U2BRBLBFL2R2UBD'L2F',silviu 5-2006,C_3 A 3
B2UB2UR2D2B2L2U2FDL'UR'BDUR'F'U2,silviu 5-2006,C_3 A 3
B2F2R2B2RD2L'UFDB'LU2F2DL2D2F'L2R2,silviu 5-2006,C_3 - 3
U'R2B2F2R2D2RB'D2F2D'U'L'UF'UR'D2F'U,silviu 5-2006,C_3 A 3
UF2U2R2B2F'LD2L'RF'D'BR'B2FDUR'U,silviu 5-2006,C_3 A 3
U2L2UL2R2U2F'RDL2D2L'U2RFL2RD'R2F,silviu 5-2006,C_3 A 3
R2U2F2L2DB2LB'D2L'BU'FD'RFD2B'U2R,silviu 5-2006,C_3 A 3
L2D'UF2D2F'UF'U'FU2R'D'U2B'LUFR'U2,silviu 5-2006,C_3 A 3
DR2D2B2U'L2U2L'FR'DU'F'LFLU'R2U'F',silviu 5-2006,C_3 A 3
U2F2D2UB2D'R2U2R'BU2LDF2RF'L2D2UF,silviu 5-2006,C_3 A 3
L2B'F2D2B2F'UR'FDB'F'LB2D'UF2LF2R2,silviu 5-2006,C_3 A 3
F2D2LU2F2L'F2R'F'DUFD2R'B'R2D2LB'U',silviu 5-2006,C_3 A 3
FL2BF2D2F'D2U'FD'FD2B'R'ULU2B'U2F2,silviu 5-2006,C_3 A 3
F2U'L2F2D2L2F2D'U'B'R'DF'L2R'D2UR'DL',silviu 5-2006,C_3 A 3
U2LB2U2L2R2F2UF'DBR2BL'B2L2B'U2F2R2,silviu 5-2006,C_3 A 3
U2F2D'B2D'L2F'R'D'B2LF2LD2UFL'D'F2R,silviu 5-2006,C_3 A 3
U'F2D'F2DB2L2F'LRB2R2D'L2DU2B'U'RF',silviu 5-2006,C_3 A 3
R2D2L2DB2F2DFU2R2U'FRB'DB'DUR2F',silviu 5-2006,C_3 A 3
L2RB2R2D2R'B'UL2UFR'B'FUFUR'F2U,silviu 5-2006,C_3 A 3
BR2FR2F2RB2R'D'L2B'F'U2F2LFR2DU'F,silviu 5-2006,C_3 A 3
R2U2F'D2BD2LU'F'L2D2L2D2B'U2LF2RF'U',silviu 5-2006,C_3 A 3
B2D2FL2B'D2U'BL'B2RF'L'D'F2RU'B'DF',silviu 5-2006,C_3 A 3
U'L2D2F2DL2B2F2UL'F2R'UL'B'L'U2RD'B,silviu 5-2006,C_3 A 3
F2D2L2R2B2D2LFU2F'R2FD'R2FRD2U'B2F',silviu 5-2006,C_3 A 3
R2U2B'D2B'F2D2L2RDUB2L2FD2U2LBL2F,silviu 5-2006,C_3 A 3
D2B2L'U2R2D'L'U2L'U'F2R'DBLR2DB'R'F',silviu 5-2006,C_3 A 3
U2RF2R2U2R2BR'U2L'R'D'L'BL'F'R'D'R2U2,silviu 5-2006,C_3 A 3
D'L2B2L2D'U'F2UFR2D'L'RDR'U'L'FUF2,silviu 5-2006,C_3 A 3
B2UL2DF2L2UL2D2F'URFD'UR'F2D'L2F,silviu 5-2006,C_3 A 3
L2U2BU2B2R'D'B'U'L'D'L'F2L2D2B2L'U'L'F,silviu 5-2006,C_3 A 3
FL2B'R2U2B2LF'R2DU2R2BU'LU'FDRF2,silviu 5-2006,C_3 A 3
U2F'L2F'L2D'L2B'RB2F'DR2B2LB'DB'R'F2,silviu 5-2006,C_3 A 3
L2B'U2L2B'R2B2UBR'D2R2F'D'L'R'U'R2UF',silviu 5-2006,C_3 A 3
B2R2U'L2F2U2B2F'LBR2DF2R2U'F2UB'R'U,silviu 5-2006,C_3 A 3
F2D2U2R2U'B2U'RU'F2U'R'U'FULB'D'RU',silviu 5-2006,C_3 A 3
R2B2L'B2F2R'D2U'BR'D'R2BR'B2FU2L'F'D',silviu 5-2006,C_3 A 3
U'R2D2L2B2R2D'FLD2U'L2F'R'D'R'BF'U2R,silviu 5-2006,C_3 A 3
R2DU2F2R2UL'U'FR2F2L2ULD'F'RB'R2U',silviu 5-2006,C_3 A 3
U2LU2B2L'F2R2B2F'LU'FU2B'LD'L'F'D2L',silviu 5-2006,C_3 A 3
U2F2U2L2B'R2UL'RBF2U'RF'U'RF'U2R2F',silviu 5-2006,C_3 A 3
FD2F2U2R2B2DLD2U'B2L'B'F2DFR'U2RF2,silviu 5-2006,C_3 A 3
U'R2U'F2U'R2D2BFD'F'R'UBFD2U2LRF,silviu 5-2006,C_3 A 3
R'F2RD2F2L2D2RD'F'L'B2DLULU'BRU',silviu 5-2006,C_3 A 3
D'L2D2B2D2B2D'U'F'UL'DRUL'RBF'R'U2,silviu 5-2006,C_3 A 3
L2D'R2D'F2D'U2B2U'RURF2RBRF'LDB,silviu 5-2006,C_3 A 3
U2R2D'L2U2R2B2R2BFLF2R'F2U'B'R'B'DL2,silviu 5-2006,C_3 A 3
L'F2R'D2LR'UL2B'F'U2L'U2L2U'L2U2B2UR',silviu 5-2006,C_3 A 3
R2U2BU2FD2B2R'DF2R'D'RU'R2FR2B2RU,silviu 5-2006,C_3 A 3
L2U2R2F2L2BU2R'B2U2RU'L2B'F2L'B2DU'F,silviu 5-2006,C_3 A 3
D'B2R2U'R2D'L2R2D2F2LDB2U'L'U'F'U2L'D2,silviu 5-2006,C_3 A 3
U'F2UB2D'R2B2D2F2LD'R2F2U'BF'LF'R2B,silviu 5-2006,C_3 A 3
B2L2B2D2L2D2U'B2F2L'FDU2L'B'RU2L2U2B2,silviu 5-2006,C_3 A 3
D2UF2D2U'FL'DRD2BU2B2F'R2DF'D2RU',silviu 5-2006,C_3 A 3
LB2L2B2U2RF2D2BR'D'F'LU'B'R'DL2B2L',silviu 5-2006,C_3 A 3
D2B2R2B2L'R2B2FL2B'D'B'RFL2UFDL'F',silviu 5-2006,C_3 A 3
UR2D'B2L2F2UB2L2BLB'R'DB'L2FL2R'F,silviu 5-2006,C_3 A 3
F2D2L'B2RB2D2BF'R2UL2U2R'BDF'U2F2U',silviu 5-2006,C_3 A 3
B2U2B2R2D'U'B'UF'L2D'FU2L'UF'R2D'R'U2,silviu 5-2006,C_3 A 3
F2U2B2UR2DBR'DB'FDL2ULRF2LD2U2,silviu 5-2006,C_3 A 3
B2UL2D2F2D2URFDB2RD2BU'L'B2LR'U',silviu 5-2006,C_3 A 3
BF'L2FD2F2D'F'RU2BD'U2L2FD'R2F'L'F2,silviu 5-2006,C_3 A 3
B2RU2B2F2L2B2D2UB'F'U'F2U2FL'B'LU'F2,silviu 5-2006,C_3 A 3
B2U2R2BD2B'L2R'B2L'F'L2U'F2D2R'FUR2U,silviu 5-2006,C_3 A 3
D2FR2BL2BF2U'RU2LFLBU'FL2B2D2F',silviu 5-2006,C_3 A 3
U2L2U'R2UB2URU2B2D'L'F2R2D'BL2UB2R',silviu 5-2006,C_3 A 3
BU2FD2FU2B'DRUFD2RU2FR2DLB'R,silviu 5-2006,C_3 A 3
BD2U2L2B2FU'FLB'D2B'D2FR'D2B'DRF2,silviu 5-2006,C_3 A 3
L2D2L2R2B2DR2F2D'BL'R'BR'F'DBU'B2L,silviu 5-2006,C_3 A 3
F2R2F'D2B'D2UB2RBD2LDB'U'L'U'BU2R2,silviu 5-2006,C_3 A 3
D2BR2D2F'D2B'UF2RB'LR'U2BR2DLRF2,silviu 5-2006,C_3 A 3
R2B2R2F'R2FU'L'B'DU'B2UL2BD2L2RFU,silviu 5-2006,C_3 A 3
DF2R2F2D'F2U'R2F2UF'U2LU'R'B'L'RBL2,silviu 5-2006,C_3 A 3
L2R2F'D2U2F2D'F2L'RU'R'B2F2URDL2D2F,silviu 5-2006,C_3 A 3
U2R2DL2DL2UF2LFRB'F2U'LF'RDB'F',silviu 5-2006,C_3 A 3
U2B2RU2L2D2B'UFDB'RU'F2D2L'B'F2LU',silviu 5-2006,C_3 A 3
D'B2L2U2F2R2U'R2B2L'R'U'BUFR'F2DUB,silviu 5-2006,C_3 A 3
U2R'U2R'D2F2D'F'LR'FU'BF2U'F2R'DF2R2,silviu 5-2006,C_3 A 3
B2U2B2R2U2L2DLB'F'UBF2D'R2D2BU'R'U2,silviu 5-2006,C_3 A 3
R2F2L2DB2D'L'BF'R2U2RB'DURUL'DF',silviu 5-2006,C_3 A 3
UB2U'B2U2LD'U'F2L'BR'UF'U2F2UR'DF',silviu 5-2006,C_3 A 3
B'L2B'L2F'LF'U'L'RDL2URF'D2L'FUF',silviu 5-2006,C_3 A 3
RB2L2RU2L'FL2R'FD'RBL2BUB2D'LR,silviu 5-2006,C_3 A 3
F2R2B'FU2R2DBRB2LRBL'ULR'U2RF',silviu 5-2006,C_3 A 3
D2LU2L2U2B2L2FD'LBU'F2LU'B2UB2R2F,silviu 5-2006,C_3 A 3
R2D2F2D2F2LBU'B'R2D'BD'FULB'U'FR,silviu 5-2006,C_3 A 3
UL2U2R2DL2UFD2B2LR'U'F2RU2B'F2U'R2,silviu 5-2006,C_3 A 3
R2U2B2U2R2B'L2DB'LF2LR'D'UR'FLR'F,silviu 5-2006,C_3 A 3
UL2B2U'B2F2D2BR'U2BU2B'D'UBD2R'F2R',silviu 5-2006,C_3 A 3
RU2L'R2U2RF2L'D2BU2L'U'L'U'FU'LB2L,silviu 5-2006,C_3 A 3
D2R2F2DB2D'R2B2R2DB'R'D'UBLR2B'F'D2,silviu 5-2006,C_3 - 3
L2F'R2F'U2F2D'B'F2DR'F2D2B'F'L2RD'FR,silviu 5-2006,C_3 A 3
D2RB2LB2R2D2F'R2UFL'BF2UF'L2R'FR,silviu 5-2006,C_3 A 3
B2U'F2L2U2F2U'L'FUB'UFL'F2LUR2F2R',silviu 5-2006,C_3 A 3
F2DL2D'U'B2DR2B2R2B'R'U'FD2R2D2LB2U,silviu 5-2006,C_3 - 3
L2F2RF2U2LF'RU'BR'FLU2B2F2U2LB'U',silviu 5-2006,C_3 - 3
L2U'L2U'F2U'R2UR2UBFU2R'D'R2B'FU2R',silviu 5-2006,C_3 A 3
D2U2L2BD2U2B2D'BDRB2D'R2BR'FUR'F',silviu 5-2006,C_3 A 3
RD2RF2U2FLBLRD2R'D'L2FD2B'U'FR',silviu 5-2006,C_3 A 3
F2DL2B2UR2U2RB2R'F2LF'D2LB'DB2R2U,silviu 5-2006,C_3 A 3
R2B2UF2L2B2L2FUF'L'UFLU'R2UB2D'R',silviu 5-2006,C_3 A 3
B2D2L2B2R'F2D'BLUF2L'U2LUF2DL2BF2,silviu 5-2006,C_3 A 3
F2D2B2RD2L'R2F'R2URFD2R2F'LR2F2UF',silviu 5-2006,C_3 A 3
R2U2LR2F2D2RFU2R'F2U'L'B2L'BR2D2UF',silviu 5-2006,C_3 A 3
L2D2LR2B2L2BL'B2U'F'DR'F'LD2B2L'U'F2,silviu 5-2006,C_3 - 3
B'R2BF'L2BU'L'U2R'DFRD2URD2BD'F2,silviu 5-2006,C_3 - 3
B'D2F'L2F2D2R2F2D'F2L'RF'L2R'D2U'F2L2F,silviu 5-2006,C_3 - 3
